,label,filename,filepath
0,Abstract Expressionism,Abstract Expressionism_aug_0_4231.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_4231.jpeg
1,Abstract Expressionism,Abstract Expressionism_aug_0_516.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_516.jpeg
2,Abstract Expressionism,Abstract Expressionism_aug_0_5806.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_5806.jpeg
3,Abstract Expressionism,Abstract Expressionism_aug_0_6373.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_6373.jpeg
4,Abstract Expressionism,Abstract Expressionism_aug_0_730.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_730.jpeg
5,Abstract Expressionism,Abstract Expressionism_aug_0_8034.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_8034.jpeg
6,Abstract Expressionism,Abstract Expressionism_aug_0_9301.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_9301.jpeg
7,Abstract Expressionism,Abstract Expressionism_aug_0_9719.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_9719.jpeg
8,Abstract Expressionism,Jackson_Pollock_1.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_1.jpg
9,Abstract Expressionism,Jackson_Pollock_10.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_10.jpg
10,Abstract Expressionism,Jackson_Pollock_18.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_18.jpg
11,Abstract Expressionism,Jackson_Pollock_19.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_19.jpg
12,Abstract Expressionism,Jackson_Pollock_20.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_20.jpg
13,Abstract Expressionism,Jackson_Pollock_21.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_21.jpg
14,Abstract Expressionism,Jackson_Pollock_22.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_22.jpg
15,Abstract Expressionism,Jackson_Pollock_4.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_4.jpg
16,Abstract Expressionism,Jackson_Pollock_5.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_5.jpg
17,Abstract Expressionism,Jackson_Pollock_8.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_8.jpg
18,Abstract Expressionism,Jackson_Pollock_9.jpg,../train_images\Abstract Expressionism\Jackson_Pollock_9.jpg
19,Byzantine Art,Andrei_Rublev_1.jpg,../train_images\Byzantine Art\Andrei_Rublev_1.jpg
20,Byzantine Art,Andrei_Rublev_11.jpg,../train_images\Byzantine Art\Andrei_Rublev_11.jpg
21,Byzantine Art,Andrei_Rublev_14.jpg,../train_images\Byzantine Art\Andrei_Rublev_14.jpg
22,Byzantine Art,Andrei_Rublev_17.jpg,../train_images\Byzantine Art\Andrei_Rublev_17.jpg
23,Byzantine Art,Andrei_Rublev_18.jpg,../train_images\Byzantine Art\Andrei_Rublev_18.jpg
24,Byzantine Art,Andrei_Rublev_19.jpg,../train_images\Byzantine Art\Andrei_Rublev_19.jpg
25,Byzantine Art,Andrei_Rublev_2.jpg,../train_images\Byzantine Art\Andrei_Rublev_2.jpg
26,Byzantine Art,Andrei_Rublev_20.jpg,../train_images\Byzantine Art\Andrei_Rublev_20.jpg
27,Byzantine Art,Andrei_Rublev_21.jpg,../train_images\Byzantine Art\Andrei_Rublev_21.jpg
28,Byzantine Art,Andrei_Rublev_23.jpg,../train_images\Byzantine Art\Andrei_Rublev_23.jpg
29,Byzantine Art,Andrei_Rublev_25.jpg,../train_images\Byzantine Art\Andrei_Rublev_25.jpg
30,Byzantine Art,Andrei_Rublev_27.jpg,../train_images\Byzantine Art\Andrei_Rublev_27.jpg
31,Byzantine Art,Andrei_Rublev_29.jpg,../train_images\Byzantine Art\Andrei_Rublev_29.jpg
32,Byzantine Art,Andrei_Rublev_30.jpg,../train_images\Byzantine Art\Andrei_Rublev_30.jpg
33,Byzantine Art,Andrei_Rublev_31.jpg,../train_images\Byzantine Art\Andrei_Rublev_31.jpg
34,Byzantine Art,Andrei_Rublev_33.jpg,../train_images\Byzantine Art\Andrei_Rublev_33.jpg
35,Byzantine Art,Andrei_Rublev_34.jpg,../train_images\Byzantine Art\Andrei_Rublev_34.jpg
36,Byzantine Art,Andrei_Rublev_40.jpg,../train_images\Byzantine Art\Andrei_Rublev_40.jpg
37,Byzantine Art,Andrei_Rublev_41.jpg,../train_images\Byzantine Art\Andrei_Rublev_41.jpg
38,Byzantine Art,Andrei_Rublev_42.jpg,../train_images\Byzantine Art\Andrei_Rublev_42.jpg
39,Byzantine Art,Andrei_Rublev_44.jpg,../train_images\Byzantine Art\Andrei_Rublev_44.jpg
40,Byzantine Art,Andrei_Rublev_48.jpg,../train_images\Byzantine Art\Andrei_Rublev_48.jpg
41,Byzantine Art,Andrei_Rublev_5.jpg,../train_images\Byzantine Art\Andrei_Rublev_5.jpg
42,Byzantine Art,Andrei_Rublev_50.jpg,../train_images\Byzantine Art\Andrei_Rublev_50.jpg
43,Byzantine Art,Andrei_Rublev_54.jpg,../train_images\Byzantine Art\Andrei_Rublev_54.jpg
44,Byzantine Art,Andrei_Rublev_56.jpg,../train_images\Byzantine Art\Andrei_Rublev_56.jpg
45,Byzantine Art,Andrei_Rublev_6.jpg,../train_images\Byzantine Art\Andrei_Rublev_6.jpg
46,Byzantine Art,Andrei_Rublev_66.jpg,../train_images\Byzantine Art\Andrei_Rublev_66.jpg
47,Byzantine Art,Andrei_Rublev_7.jpg,../train_images\Byzantine Art\Andrei_Rublev_7.jpg
48,Byzantine Art,Andrei_Rublev_70.jpg,../train_images\Byzantine Art\Andrei_Rublev_70.jpg
49,Byzantine Art,Andrei_Rublev_73.jpg,../train_images\Byzantine Art\Andrei_Rublev_73.jpg
50,Byzantine Art,Andrei_Rublev_77.jpg,../train_images\Byzantine Art\Andrei_Rublev_77.jpg
51,Byzantine Art,Andrei_Rublev_8.jpg,../train_images\Byzantine Art\Andrei_Rublev_8.jpg
52,Byzantine Art,Andrei_Rublev_81.jpg,../train_images\Byzantine Art\Andrei_Rublev_81.jpg
53,Byzantine Art,Andrei_Rublev_85.jpg,../train_images\Byzantine Art\Andrei_Rublev_85.jpg
54,Byzantine Art,Andrei_Rublev_86.jpg,../train_images\Byzantine Art\Andrei_Rublev_86.jpg
55,Byzantine Art,Andrei_Rublev_87.jpg,../train_images\Byzantine Art\Andrei_Rublev_87.jpg
56,Byzantine Art,Andrei_Rublev_88.jpg,../train_images\Byzantine Art\Andrei_Rublev_88.jpg
57,Byzantine Art,Andrei_Rublev_9.jpg,../train_images\Byzantine Art\Andrei_Rublev_9.jpg
58,Byzantine Art,Andrei_Rublev_92.jpg,../train_images\Byzantine Art\Andrei_Rublev_92.jpg
59,Byzantine Art,Andrei_Rublev_93.jpg,../train_images\Byzantine Art\Andrei_Rublev_93.jpg
60,Byzantine Art,Andrei_Rublev_97.jpg,../train_images\Byzantine Art\Andrei_Rublev_97.jpg
61,Byzantine Art,Andrei_Rublev_98.jpg,../train_images\Byzantine Art\Andrei_Rublev_98.jpg
62,Byzantine Art,Andrei_Rublev_99.jpg,../train_images\Byzantine Art\Andrei_Rublev_99.jpg
63,Byzantine Art,Byzantine Art_aug_0_1077.jpeg,../train_images\Byzantine Art\Byzantine Art_aug_0_1077.jpeg
